Replacement,Original
April,april
August,august
AutoHotkey,auto hot key
await,a wait
Blazor,blazer
balance,Ballance
char,cha
cheffed,shaft
CR,cr
December,december
drop down,dropped down
error,era
errors,aris
errors,eris
February,february
filter,felter
Friday,friday
Fridays,fridays
Google Chrome,google crime
I,i
I'd,i'd
I'll,i'll
I'm,i'm
I've,i've
January,january
July,july
June,june
localhost,local host
merge,marge
Monday,monday
Mondays,mondays
November,november
October,october
paren,pare
Saturday,saturday
Saturdays,saturdays
September,september
should,sherd 
Sunday,sunday
Sundays,sundays
Talon,Tallon
Thursday,thursday
Thursdays,thursdays
Tobii,toby
Tuesday,tuesday
Tuesdays,tuesdays
value,vale
Wednesday,wednesday
Wednesdays,wednesdays
when,wen
queue,cu
when,wend
wiki,wicky